GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
NACA0015,PLM,1039183,3114818,3.55076,137.175,132,0.975899,25,1968.43,3136.43,96.0976,0,48,L1D,0,0
NACA0015,MPLM,1039183,3114818,1.25474,40.259,127,0.975762,25,565.714,693.714,99.8052,0,48,LL,0,0
AS365,PLM,3799275,11368076,13.8422,602.98,214,0.984138,25,7804.34,12420.3,356.654,0,48,L1D,0,0
333SP,PLM,3712815,11108633,18.8881,864.588,220,0.987035,25,11060.4,17473.4,409.385,0,48,L1D,0,0
M6,PLM,3501776,10501936,19.5083,831.359,192,0.98318,25,13260.5,18113.5,349.215,0,48,L1D,0,0
NLR,PLM,4163763,12487976,24.1789,974.971,205,0.984017,25,16818.7,22610.7,386.352,0,48,L1D,0,0
AS365,MPLM,3799275,11368076,4.84726,210.478,212,0.984176,25,2906.92,3505.92,360.856,0,48,LL,0,0
M6,MPLM,3501776,10501936,3.55266,154.304,189,0.983111,25,2087.55,2401.55,317.948,0,48,LL,0,0
333SP,MPLM,3712815,11108633,4.45835,190.134,195,0.986971,25,2638.52,3246.52,336.619,0,48,LL,0,0
uk-2002,PLM,18520486,261787258,104.54,2656.02,42017,0.98977,25,95390.6,100160,686.506,0,48,L1D,0,0
NLR,MPLM,4163763,12487976,4.25107,186.947,192,0.984012,25,2479.44,2894.44,378.338,0,48,LL,0,0
Oregon-2,PLM,11806,32730,0.143303,2.58421,372,0.638221,25,28.2188,57.2188,7.69858,0,48,L1D,0,0
Oregon-2,MPLM,11806,32730,0.119382,2.24477,371,0.639971,25,21.1488,34.1488,1.78602,0,48,LL,0,0
uk-2002,MPLM,18520486,261787258,11.3704,440.328,42151,0.989719,25,7042.19,7603.19,825.278,0,48,LL,0,0
belgium,PLM,1441295,1549970,7.6375,346.06,547,0.994283,25,1634.51,6590.51,409.672,0,48,L1D,0,0
belgium,MPLM,1441295,1549970,1.75225,72.0531,539,0.994292,25,296.329,945.329,275.519,0,48,LL,0,0
nlpkkt200,PLM,16240000,215992816,156.31,5463.54,58,0.941408,25,153023,153594,278.234,0,48,L1D,0,0
