GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
M6,PLP,3501776,10501936,0.707424,30.6536,85666,0.819367,25,0,656,0,0,48,LL,0,0
AS365,PLP,3799275,11368076,0.76906,34.1141,94904,0.819618,25,0,714,0,0,48,LL,0,0
333SP,PLP,3712815,11108633,0.9692,44.727,61252,0.858413,25,0,945,0,0,48,LL,0,0
NLR,PLP,4163763,12487976,0.903891,40.6803,106099,0.816032,25,0,857,0,0,48,LL,0,0
NACA0015,PLP,1039183,3114818,0.314608,11.6388,26483,0.815718,25,0,272,0,0,48,LL,0,0
NACA0015,MPLP,1039183,3114818,0.377252,9.14152,26804,0.814985,25,0,141,0,0,48,LL,0,0
M6,MPLP,3501776,10501936,1.0927,24.2198,89287,0.815817,25,0,558,0,0,48,LL,0,0
AS365,MPLP,3799275,11368076,0.960396,22.8457,99216,0.815665,25,0,407,0,0,48,LL,0,0
333SP,MPLP,3712815,11108633,0.990292,25.3799,63212,0.856526,25,0,506,0,0,48,LL,0,0
NLR,MPLP,4163763,12487976,0.987999,24.2333,106343,0.815774,25,0,399,0,0,48,LL,0,0
Oregon-2,PLP,11806,32730,0.0969802,2.05697,408,0.381112,25,0,54,0,0,48,LL,0,0
Oregon-2,MPLP,11806,32730,0.0613208,0.90548,398,0.497287,25,0,12,0,0,48,LL,0,0
belgium,PLP,1441295,1549970,0.38526,15.3686,30289,0.950015,25,0,332,0,0,48,LL,0,0
asia,PLP,11950757,12711603,5.88053,273.399,157798,0.968564,25,0,5823,0,0,48,LL,0,0
belgium,MPLP,1441295,1549970,0.434326,10.0705,29515,0.950743,25,0,146,0,0,48,LL,0,0
delaunay_n24,PLP,16777216,50331601,12.017,564.698,516407,0.809326,25,0,11943,0,0,48,LL,0,0
asia,MPLP,11950757,12711603,2.2639,30.1236,161799,0.967966,25,0,560,0,0,48,LL,0,0
germany,PLP,11548845,12369181,2.12254,98.9371,252792,0.954495,25,0,2053,0,0,48,LL,0,0
europe,PLP,50912018,54054660,25.3725,1198.88,902475,0.961633,25,0,25267,0,0,48,LL,0,0
delaunay_n24,MPLP,16777216,50331601,3.78171,71.9489,518906,0.809046,25,0,1368,0,0,48,LL,0,0
germany,MPLP,11548845,12369181,2.17105,37.2119,259301,0.953579,25,0,580,0,0,48,LL,0,0
kkt_power,PLP,2063494,6482320,0.540817,17.2845,46852,0.752236,25,0,526,0,0,48,LL,0,0
in-2004,PLP,1382908,13591473,0.270759,10.8335,26197,0.9359,25,0,250,0,0,48,LL,0,0
kkt_power,MPLP,2063494,6482320,0.552481,11.9748,38815,0.755413,25,0,207,0,0,48,LL,0,0
in-2004,MPLP,1382908,13591473,0.359355,8.46069,26008,0.938391,25,0,157,0,0,48,LL,0,0
europe,MPLP,50912018,54054660,9.52527,131.975,895740,0.961699,25,0,2499,0,0,48,LL,0,0
