GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
uk-2002,MPLP,18520486,261787258,3.23622,47.7827,248955,0.960742,25,0,1124,0,0,36,LL,0,0
nlpkkt200,MPLP,16240000,215992816,21.1636,693.875,2556406,0.369032,25,0,19246,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,0.959244,33.8363,62006,0.857651,25,0,933,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,0.882487,17.8412,62505,0.855826,25,0,386,0,0,36,LL,0,0
AS365,PLP,3799275,11368076,0.738462,24.778,92862,0.821974,25,0,696,0,0,36,LL,0,0
M6,PLP,3501776,10501936,1.08486,38.0791,89077,0.816287,25,0,1037,0,0,36,LL,0,0
NLR,PLP,4163763,12487976,1.16835,33.7365,103299,0.818796,25,0,1145,0,0,36,LL,0,0
NACA0015,PLP,1039183,3114818,0.257396,8.60826,26606,0.815536,25,0,213,0,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.308627,7.46271,26831,0.814391,25,0,160,0,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.772053,16.4764,87998,0.816797,25,0,332,0,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.913924,16.7472,95201,0.819615,25,0,414,0,0,36,LL,0,0
NLR,MPLP,4163763,12487976,0.965856,18.5206,102865,0.818776,25,0,437,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0102476,0.153076,443,0.533503,25,0,2,0,0,36,LL,0,0
Oregon-2,MPLP,11806,32730,0.0387861,0.587298,381,0.106286,25,0,5,0,0,36,LL,0,0
belgium,PLP,1441295,1549970,0.275653,9.49495,29885,0.950297,25,0,253,0,0,36,LL,0,0
asia,PLP,11950757,12711603,2.08062,73.1415,156282,0.96879,25,0,2048,0,0,36,LL,0,0
belgium,MPLP,1441295,1549970,0.304296,6.55964,29148,0.951096,25,0,64,0,0,36,LL,0,0
asia,MPLP,11950757,12711603,1.9736,27.9164,156041,0.968816,25,0,605,0,0,36,LL,0,0
in-2004,PLP,1382908,13591473,0.281392,9.33779,25951,0.939987,25,0,241,0,0,36,LL,0,0
germany,PLP,11548845,12369181,3.72712,131.936,255807,0.954024,25,0,3669,0,0,36,LL,0,0
in-2004,MPLP,1382908,13591473,0.299182,8.17702,25936,0.941094,25,0,75,0,0,36,LL,0,0
delaunay_n24,PLP,16777216,50331601,4.26712,150.906,517435,0.809069,25,0,4207,0,0,36,LL,0,0
germany,MPLP,11548845,12369181,1.92846,27.1194,244541,0.955619,25,0,582,0,0,36,LL,0,0
europe,PLP,50912018,54054660,9.11845,322.676,899378,0.961716,25,0,9037,0,0,36,LL,0,0
kkt_power,PLP,2063494,6482320,0.567478,20.0091,38117,0.757069,25,0,557,0,0,36,LL,0,0
delaunay_n24,MPLP,16777216,50331601,3.35984,55.4542,516327,0.80942,25,0,1374,0,0,36,LL,0,0
