Version,Graph Name,Threads,Event,Power,Iteration
PLP,M6,48,package-0,86.5692,1
PLP,M6,48,dram,9.20023,1
PLP,M6,48,package-1,84.2475,1
PLP,M6,48,dram,8.93566,1
PLP,AS365,48,package-0,93.7102,1
PLP,AS365,48,dram,10.2503,1
PLP,AS365,48,package-1,91.5989,1
PLP,AS365,48,dram,10.168,1
PLP,333SP,48,package-0,124.792,1
PLP,333SP,48,dram,10.7427,1
PLP,333SP,48,package-1,113.772,1
PLP,333SP,48,dram,13.8177,1
PLP,NLR,48,package-0,107.686,1
PLP,NLR,48,dram,10.7786,1
PLP,NLR,48,package-1,107.209,1
PLP,NLR,48,dram,12.6163,1
PLP,NACA0015,48,package-0,36.0045,1
PLP,NACA0015,48,dram,2.94912,1
PLP,NACA0015,48,package-1,32.027,1
PLP,NACA0015,48,dram,3.7882,1
MPLP,NACA0015,48,package-0,26.2817,1
MPLP,NACA0015,48,dram,3.22721,1
MPLP,NACA0015,48,package-1,40.0855,1
MPLP,NACA0015,48,dram,4.70975,1
MPLP,M6,48,package-0,73.0731,1
MPLP,M6,48,dram,12.9945,1
MPLP,M6,48,package-1,126.306,1
MPLP,M6,48,dram,15.2332,1
MPLP,AS365,48,package-0,73.3176,1
MPLP,AS365,48,dram,10.8086,1
MPLP,AS365,48,package-1,91.0678,1
MPLP,AS365,48,dram,15.5349,1
MPLP,333SP,48,package-0,82.5751,1
MPLP,333SP,48,dram,10.9523,1
MPLP,333SP,48,package-1,105.87,1
MPLP,333SP,48,dram,14.5516,1
MPLP,NLR,48,package-0,74.8747,1
MPLP,NLR,48,dram,11.3071,1
MPLP,NLR,48,package-1,94.6974,1
MPLP,NLR,48,dram,15.6135,1
PLP,Oregon-2,48,package-0,7.58372,1
PLP,Oregon-2,48,dram,0.855668,1
PLP,Oregon-2,48,package-1,10.0238,1
PLP,Oregon-2,48,dram,1.03402,1
MPLP,Oregon-2,48,package-0,2.02606,1
MPLP,Oregon-2,48,dram,0.531506,1
MPLP,Oregon-2,48,package-1,6.55199,1
MPLP,Oregon-2,48,dram,0.63879,1
