Version,Graph Name,Threads,Event,Power,Iteration
PLM,Oregon-2,48,package-0,7.72532,1
PLM,Oregon-2,48,dram,1.522,1
PLM,Oregon-2,48,package-1,18.7916,1
PLM,Oregon-2,48,dram,1.49857,1
PLM,NACA0015,48,package-0,303.922,1
PLM,NACA0015,48,dram,40.2312,1
PLM,NACA0015,48,package-1,469.38,1
PLM,NACA0015,48,dram,48.9023,1
PLM,belgium,48,package-0,915.036,1
PLM,belgium,48,dram,87.9983,1
PLM,belgium,48,package-1,1061.33,1
PLM,belgium,48,dram,92.8018,1
ONPL,Oregon-2,48,package-0,4.47857,1
ONPL,Oregon-2,48,dram,1.27201,1
ONPL,Oregon-2,48,package-1,15.3463,1
ONPL,Oregon-2,48,dram,1.24438,1
PLM,AS365,48,package-0,1281.98,1
PLM,AS365,48,dram,173.11,1
PLM,AS365,48,package-1,1173.02,1
PLM,AS365,48,dram,157.364,1
ONPL,NACA0015,48,package-0,141.013,1
ONPL,NACA0015,48,dram,14.978,1
ONPL,NACA0015,48,package-1,150.318,1
ONPL,NACA0015,48,dram,14.6241,1
PLM,M6,48,package-0,1538.51,1
PLM,M6,48,dram,186.842,1
PLM,M6,48,package-1,1335.68,1
PLM,M6,48,dram,202.685,1
OVPL,Oregon-2,48,package-0,12.5438,1
OVPL,Oregon-2,48,dram,2.07563,1
OVPL,Oregon-2,48,package-1,25.7339,1
OVPL,Oregon-2,48,dram,2.04039,1
ONPL,belgium,48,package-0,260.78,1
ONPL,belgium,48,dram,32.4985,1
ONPL,belgium,48,package-1,352.051,1
ONPL,belgium,48,dram,32.1492,1
PLM,333SP,48,package-0,1899.72,1
PLM,333SP,48,dram,244.529,1
PLM,333SP,48,package-1,1710.96,1
PLM,333SP,48,dram,261.709,1
PLM,NLR,48,package-0,1820.83,1
PLM,NLR,48,dram,264.701,1
PLM,NLR,48,package-1,1975.91,1
PLM,NLR,48,dram,281.354,1
MPLM,Oregon-2,48,package-0,6.31236,1
MPLM,Oregon-2,48,dram,1.54868,1
MPLM,Oregon-2,48,package-1,15.9591,1
MPLM,Oregon-2,48,dram,1.51557,1
OVPL,NACA0015,48,package-0,189.062,1
OVPL,NACA0015,48,dram,25.5717,1
OVPL,NACA0015,48,package-1,299.091,1
OVPL,NACA0015,48,dram,28.7664,1
ONPL,AS365,48,package-0,771.573,1
ONPL,AS365,48,dram,69.0961,1
ONPL,AS365,48,package-1,764.266,1
ONPL,AS365,48,dram,82.2441,1
OVPL,belgium,48,package-0,376.2,1
OVPL,belgium,48,dram,42.5997,1
OVPL,belgium,48,package-1,407.41,1
OVPL,belgium,48,dram,38.4312,1
ONPL,M6,48,package-0,384.632,1
ONPL,M6,48,dram,37.1542,1
ONPL,M6,48,package-1,405.869,1
ONPL,M6,48,dram,40.9868,1
ONPL,333SP,48,package-0,962.598,1
ONPL,333SP,48,dram,84.139,1
ONPL,333SP,48,package-1,920.616,1
ONPL,333SP,48,dram,103.15,1
ONPL,NLR,48,package-0,702.138,1
ONPL,NLR,48,dram,73.2353,1
ONPL,NLR,48,package-1,775.081,1
ONPL,NLR,48,dram,71.3276,1
MPLM,NACA0015,48,package-0,149.95,1
MPLM,NACA0015,48,dram,18.6945,1
MPLM,NACA0015,48,package-1,185.625,1
MPLM,NACA0015,48,dram,17.828,1
MPLM,belgium,48,package-0,380.041,1
MPLM,belgium,48,dram,42.3541,1
MPLM,belgium,48,package-1,432.029,1
MPLM,belgium,48,dram,41.0061,1
OVPL,AS365,48,package-0,693.279,1
OVPL,AS365,48,dram,73.0839,1
OVPL,AS365,48,package-1,706.781,1
OVPL,AS365,48,dram,80.7045,1
OVPL,M6,48,package-0,663.362,1
OVPL,M6,48,dram,58.2438,1
OVPL,M6,48,package-1,595.23,1
OVPL,M6,48,dram,66.9112,1
OVPL,333SP,48,package-0,764.363,1
OVPL,333SP,48,dram,74.9995,1
OVPL,333SP,48,package-1,715.233,1
OVPL,333SP,48,dram,82.0722,1
OVPL,NLR,48,package-0,644.85,1
OVPL,NLR,48,dram,71.9535,1
OVPL,NLR,48,package-1,677.55,1
OVPL,NLR,48,dram,70.5209,1
PLM,in-2004,48,package-0,501.907,1
PLM,in-2004,48,dram,59.2751,1
PLM,in-2004,48,package-1,565.711,1
PLM,in-2004,48,dram,70.0748,1
MPLM,AS365,48,package-0,666.644,1
MPLM,AS365,48,dram,62.5245,1
MPLM,AS365,48,package-1,682.278,1
MPLM,AS365,48,dram,74.5344,1
PLM,asia,48,package-0,6979.55,1
PLM,asia,48,dram,871.88,1
PLM,asia,48,package-1,-256069,1
PLM,asia,48,dram,836.947,1
MPLM,M6,48,package-0,606.687,1
MPLM,M6,48,dram,53.0734,1
MPLM,M6,48,package-1,550.712,1
MPLM,M6,48,dram,56.414,1
MPLM,333SP,48,package-0,533.307,1
MPLM,333SP,48,dram,53.7098,1
MPLM,333SP,48,package-1,610.491,1
MPLM,333SP,48,dram,66.8067,1
MPLM,NLR,48,package-0,725.093,1
MPLM,NLR,48,dram,77.4941,1
MPLM,NLR,48,package-1,797.455,1
MPLM,NLR,48,dram,72.7776,1
ONPL,in-2004,48,package-0,269.831,1
ONPL,in-2004,48,dram,27.427,1
ONPL,in-2004,48,package-1,305.71,1
ONPL,in-2004,48,dram,34.8489,1
PLM,delaunay_n24,48,package-0,7031.86,1
PLM,delaunay_n24,48,dram,974.247,1
PLM,delaunay_n24,48,package-1,7566.22,1
PLM,delaunay_n24,48,dram,1134.41,1
PLM,luxembourg,48,package-0,54.6718,1
PLM,luxembourg,48,dram,6.5521,1
PLM,luxembourg,48,package-1,92.3209,1
PLM,luxembourg,48,dram,7.38866,1
