GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
M6,PLP,3501776,10501936,0.690787,23.5682,91217,0.814018,25,0,668,0,0,36,LL,0,0
AS365,PLP,3799275,11368076,0.74099,24.3948,95428,0.81997,25,0,716,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,1.04347,29.6432,65736,0.85405,25,0,1020,0,0,36,LL,0,0
NACA0015,PLP,1039183,3114818,0.239398,7.87447,26455,0.81601,25,0,192,0,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.805241,16.4014,89142,0.815711,25,0,350,0,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.424675,9.51096,25587,0.818072,25,0,207,0,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.892174,17.4976,94912,0.819941,25,0,367,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,0.86379,19.0858,62956,0.856466,25,0,407,0,0,36,LL,0,0
NACA0015,ONLP,1039183,3114818,0.528701,10.218,25352,0.818977,25,0,374,0,0,36,LL,0,0
M6,ONLP,3501776,10501936,1.0453,19.902,87114,0.81839,25,0,582,0,0,36,LL,0,0
AS365,ONLP,3799275,11368076,0.880572,18.4214,93822,0.821481,25,0,406,0,0,36,LL,0,0
333SP,ONLP,3712815,11108633,0.902978,19.7261,62753,0.857738,25,0,411,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0420144,0.57258,429,0.5296,25,0,5,0,0,36,LL,0,0
belgium,PLP,1441295,1549970,0.751644,26.3472,30121,0.950063,25,0,710,0,0,36,LL,0,0
NLR,PLP,4163763,12487976,0.84906,29.9885,104920,0.817039,25,0,828,0,0,36,LL,0,0
asia,PLP,11950757,12711603,2.15368,75.6464,156440,0.968757,25,0,2112,0,0,36,LL,0,0
Oregon-2,MPLP,11806,32730,0.0168853,0.244746,409,0.150632,25,0,2,0,0,36,LL,0,0
belgium,MPLP,1441295,1549970,0.363801,7.90677,29331,0.950913,25,0,155,0,0,36,LL,0,0
NLR,MPLP,4163763,12487976,1.03457,18.3264,103613,0.817339,25,0,449,0,0,36,LL,0,0
Oregon-2,ONLP,11806,32730,0.0359073,0.53553,382,0.484128,25,0,2,0,0,36,LL,0,0
asia,MPLP,11950757,12711603,2.02634,27.57,154767,0.969066,25,0,598,0,0,36,LL,0,0
belgium,ONLP,1441295,1549970,0.388917,8.10622,28959,0.95146,25,0,115,0,0,36,LL,0,0
NLR,ONLP,4163763,12487976,1.02954,21.6502,104362,0.817577,25,0,494,0,0,36,LL,0,0
asia,ONLP,11950757,12711603,2.02389,31.0356,155103,0.968969,25,0,613,0,0,36,LL,0,0
delaunay_n24,PLP,16777216,50331601,3.92863,134.061,514683,0.809634,25,0,3870,0,0,36,LL,0,0
in-2004,PLP,1382908,13591473,0.309261,10.3809,25912,0.940131,25,0,266,0,0,36,LL,0,0
kkt_power,PLP,2063494,6482320,0.81438,28.9192,37954,0.757902,25,0,802,0,0,36,LL,0,0
germany,PLP,11548845,12369181,1.97676,70.201,257156,0.953806,25,0,1946,0,0,36,LL,0,0
delaunay_n24,MPLP,16777216,50331601,3.36337,55.9249,516155,0.809505,25,0,1376,0,0,36,LL,0,0
in-2004,MPLP,1382908,13591473,0.283558,5.03951,25845,0.939875,25,0,104,0,0,36,LL,0,0
kkt_power,MPLP,2063494,6482320,0.579656,12.5768,38838,0.755276,25,0,286,0,0,36,LL,0,0
germany,MPLP,11548845,12369181,1.88398,29.2798,254622,0.954207,25,0,586,0,0,36,LL,0,0
europe,PLP,50912018,54054660,9.15718,322.494,899432,0.961709,25,0,9085,0,0,36,LL,0,0
kkt_power,ONLP,2063494,6482320,0.413453,8.51187,38523,0.755918,25,0,170,0,0,36,LL,0,0
in-2004,ONLP,1382908,13591473,0.357089,8.21847,25910,0.940006,25,0,145,0,0,36,LL,0,0
delaunay_n24,ONLP,16777216,50331601,3.60854,63.5449,516823,0.809323,25,0,1580,0,0,36,LL,0,0
germany,ONLP,11548845,12369181,1.90035,24.7536,261292,0.953422,25,0,561,0,0,36,LL,0,0
europe,MPLP,50912018,54054660,8.62026,113.841,904485,0.961447,25,0,2833,0,0,36,LL,0,0
luxembourg,PLP,114599,119666,0.0336693,0.936386,1900,0.965394,25,0,17,0,0,36,LL,0,0
loc-gowalla_edges,PLP,196591,950327,0.1483,4.49497,636,0.5287,25,0,108,0,0,36,LL,0,0
roadNet-PA,PLP,1088092,1541898,0.180288,5.78824,31922,0.900058,25,0,139,0,0,36,LL,0,0
netherlands,PLP,2216688,2441238,0.630004,21.8853,92779,0.918165,25,0,585,0,0,36,LL,0,0
luxembourg,MPLP,114599,119666,0.124196,2.25838,1799,0.966308,25,0,25,0,0,36,LL,0,0
loc-gowalla_edges,MPLP,196591,950327,0.0649646,1.1265,147,0.484593,25,0,21,0,0,36,LL,0,0
roadNet-PA,MPLP,1088092,1541898,0.316072,5.95728,30839,0.901524,25,0,104,0,0,36,LL,0,0
netherlands,MPLP,2216688,2441238,0.552475,9.64117,91590,0.918893,25,0,172,0,0,36,LL,0,0
luxembourg,ONLP,114599,119666,0.0514372,0.932076,1715,0.96716,25,0,13,0,0,36,LL,0,0
loc-gowalla_edges,ONLP,196591,950327,0.106524,1.8256,240,0.515692,25,0,14,0,0,36,LL,0,0
roadNet-PA,ONLP,1088092,1541898,0.264442,4.8508,30550,0.901833,25,0,50,0,0,36,LL,0,0
netherlands,ONLP,2216688,2441238,0.476968,10.1567,92395,0.918371,25,0,179,0,0,36,LL,0,0
europe,ONLP,50912018,54054660,9.30779,136.471,917528,0.961114,25,0,3444,0,0,36,LL,0,0
uk-2002,PLP,18520486,261787258,3.33141,118.145,248348,0.960731,25,0,3287,0,0,36,LL,0,0
nlpkkt200,PLP,16240000,215992816,51.4914,1837.8,2130201,0.410475,25,0,51456,0,0,36,LL,0,0
uk-2002,MPLP,18520486,261787258,3.34165,50.0284,249286,0.960652,25,0,1199,0,0,36,LL,0,0
nlpkkt200,MPLP,16240000,215992816,22.3333,741.291,2660872,0.340988,25,0,20499,0,0,36,LL,0,0
uk-2002,ONLP,18520486,261787258,3.63589,62.4535,247890,0.96082,25,0,1557,0,0,36,LL,0,0
nlpkkt200,ONLP,16240000,215992816,33.1446,1121.89,2630447,0.383083,25,0,31174,0,0,36,LL,0,0
AS365,PLP,3799275,11368076,1.21897,42.958,94109,0.820976,25,0,1169,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,1.7241,61.227,63131,0.856942,25,0,1681,0,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.887752,17.9174,93043,0.821589,25,0,373,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,1.01615,18.9808,63354,0.855788,25,0,408,0,0,36,LL,0,0
AS365,ONLP,3799275,11368076,0.898715,18.834,93117,0.82203,25,0,403,0,0,36,LL,0,0
333SP,ONLP,3712815,11108633,0.982537,18.0772,59616,0.859649,25,0,479,0,0,36,LL,0,0
M6,PLP,3501776,10501936,0.706829,24.4963,88537,0.816747,25,0,667,0,0,36,LL,0,0
NACA0015,PLP,1039183,3114818,0.211503,7.26155,26539,0.815595,25,0,191,0,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.299846,6.64789,26534,0.815211,25,0,146,0,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.880657,17.4332,87126,0.817308,25,0,408,0,0,36,LL,0,0
NACA0015,ONLP,1039183,3114818,0.506709,12.3707,26091,0.817604,25,0,292,0,0,36,LL,0,0
M6,ONLP,3501776,10501936,0.839123,18.6085,86279,0.818805,25,0,398,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0122151,0.218126,415,0.527747,25,0,3,0,0,36,LL,0,0
belgium,PLP,1441295,1549970,0.312189,10.4351,30437,0.949662,25,0,267,0,0,36,LL,0,0
in-2004,PLP,1382908,13591473,0.357277,12.1016,25983,0.940064,25,0,339,0,0,36,LL,0,0
