Version,Graph Name,Threads,Event,Power,Iteration
PLP,Oregon-2,48,package-0,5.63243,1
PLP,Oregon-2,48,dram,0.691866,1
PLP,Oregon-2,48,package-1,6.08849,1
PLP,Oregon-2,48,dram,0.772344,1
PLP,M6,48,package-0,82.1772,1
PLP,M6,48,dram,9.36463,1
PLP,M6,48,package-1,92.6216,1
PLP,M6,48,dram,9.1404,1
PLP,NLR,48,package-0,99.3892,1
PLP,NLR,48,dram,11.8614,1
PLP,NLR,48,package-1,114.495,1
PLP,NLR,48,dram,11.4867,1
PLP,AS365,48,package-0,129.318,1
PLP,AS365,48,dram,14.2921,1
PLP,AS365,48,package-1,146.395,1
PLP,AS365,48,dram,16.0004,1
PLP,333SP,48,package-0,129.471,1
PLP,333SP,48,dram,16.291,1
PLP,333SP,48,package-1,167.745,1
PLP,333SP,48,dram,15.3799,1
PLP,NACA0015,48,package-0,28.5222,1
PLP,NACA0015,48,dram,3.31722,1
PLP,NACA0015,48,package-1,30.0282,1
PLP,NACA0015,48,dram,3.16907,1
PLP,asia,48,package-0,248.625,1
PLP,asia,48,dram,26.1849,1
PLP,asia,48,package-1,244.077,1
PLP,asia,48,dram,29.577,1
MPLP,Oregon-2,48,package-0,2.81573,1
MPLP,Oregon-2,48,dram,0.721502,1
MPLP,Oregon-2,48,package-1,6.35454,1
MPLP,Oregon-2,48,dram,0.803372,1
MPLP,NACA0015,48,package-0,23.2253,1
MPLP,NACA0015,48,dram,6.25851,1
MPLP,NACA0015,48,package-1,81.648,1
MPLP,NACA0015,48,dram,6.45212,1
MPLP,M6,48,package-0,58.9025,1
MPLP,M6,48,dram,11.9398,1
MPLP,M6,48,package-1,117.727,1
MPLP,M6,48,dram,14.1669,1
MPLP,AS365,48,package-0,60.4055,1
MPLP,AS365,48,dram,12.1465,1
MPLP,AS365,48,package-1,105,1
MPLP,AS365,48,dram,15.01,1
MPLP,NLR,48,package-0,85.3962,1
MPLP,NLR,48,dram,16.0335,1
MPLP,NLR,48,package-1,116.585,1
MPLP,NLR,48,dram,14.383,1
MPLP,333SP,48,package-0,96.828,1
MPLP,333SP,48,dram,17.614,1
MPLP,333SP,48,package-1,190.958,1
MPLP,333SP,48,dram,19.3428,1
ONLP,Oregon-2,48,package-0,3.34698,1
ONLP,Oregon-2,48,dram,0.797145,1
ONLP,Oregon-2,48,package-1,6.98881,1
ONLP,Oregon-2,48,dram,0.87594,1
MPLP,asia,48,package-0,156.966,1
MPLP,asia,48,dram,29.56,1
MPLP,asia,48,package-1,168.415,1
