Version,Graph Name,Threads,Event,Power,Iteration
PLP,M6,36,package-0,83.6139,1
PLP,M6,36,dram,11.1322,1
PLP,M6,36,package-1,73.2634,1
PLP,M6,36,dram,9.17694,1
PLP,AS365,36,package-0,85.7193,1
PLP,AS365,36,dram,9.28519,1
PLP,AS365,36,package-1,77.9119,1
PLP,AS365,36,dram,11.3419,1
PLP,333SP,36,package-0,101.453,1
PLP,333SP,36,dram,15.0473,1
PLP,333SP,36,package-1,130.273,1
PLP,333SP,36,dram,14.2917,1
PLP,NACA0015,36,package-0,28.3201,1
PLP,NACA0015,36,dram,3.17706,1
PLP,NACA0015,36,package-1,29.2774,1
PLP,NACA0015,36,dram,2.74814,1
MPLP,M6,36,package-0,61.9245,1
MPLP,M6,36,dram,10.5934,1
MPLP,M6,36,package-1,71.6165,1
MPLP,M6,36,dram,13.8729,1
MPLP,AS365,36,package-0,61.8497,1
MPLP,AS365,36,dram,10.3142,1
MPLP,AS365,36,package-1,80.2177,1
MPLP,AS365,36,dram,15.275,1
MPLP,NACA0015,36,package-0,28.7243,1
MPLP,NACA0015,36,dram,5.0815,1
MPLP,NACA0015,36,package-1,55.1892,1
MPLP,NACA0015,36,dram,5.03985,1
MPLP,333SP,36,package-0,77.4493,1
MPLP,333SP,36,dram,14.1639,1
MPLP,333SP,36,package-1,83.7054,1
MPLP,333SP,36,dram,11.0599,1
ONLP,NACA0015,36,package-0,26.0481,1
ONLP,NACA0015,36,dram,6.18562,1
ONLP,NACA0015,36,package-1,71.0553,1
ONLP,NACA0015,36,dram,6.06923,1
ONLP,M6,36,package-0,67.645,1
ONLP,M6,36,dram,15.2368,1
ONLP,M6,36,package-1,103.677,1
ONLP,M6,36,dram,16.2391,1
ONLP,AS365,36,package-0,65.5675,1
ONLP,AS365,36,dram,10.1711,1
ONLP,AS365,36,package-1,81.162,1
ONLP,AS365,36,dram,15.7143,1
ONLP,333SP,36,package-0,81.986,1
ONLP,333SP,36,dram,15.0536,1
ONLP,333SP,36,package-1,86.3598,1
ONLP,333SP,36,dram,11.5724,1
PLP,Oregon-2,36,package-0,2.32897,1
PLP,Oregon-2,36,dram,0.486601,1
PLP,Oregon-2,36,package-1,3.37756,1
PLP,Oregon-2,36,dram,0.513636,1
PLP,belgium,36,package-0,90.5017,1
PLP,belgium,36,dram,8.37599,1
PLP,belgium,36,package-1,90.9083,1
PLP,belgium,36,dram,9.93215,1
PLP,NLR,36,package-0,106.723,1
PLP,NLR,36,dram,9.83281,1
PLP,NLR,36,package-1,105.236,1
PLP,NLR,36,dram,13.9587,1
PLP,asia,36,package-0,243.872,1
PLP,asia,36,dram,31.4788,1
PLP,asia,36,package-1,225.626,1
PLP,asia,36,dram,27.6809,1
MPLP,Oregon-2,36,package-0,1.58398,1
MPLP,Oregon-2,36,dram,0.210283,1
MPLP,Oregon-2,36,package-1,0.768979,1
MPLP,Oregon-2,36,dram,0.208768,1
MPLP,belgium,36,package-0,23.0136,1
MPLP,belgium,36,dram,4.41081,1
MPLP,belgium,36,package-1,46.744,1
MPLP,belgium,36,dram,4.22759,1
MPLP,NLR,36,package-0,70.7668,1
MPLP,NLR,36,dram,11.8155,1
MPLP,NLR,36,package-1,103.62,1
MPLP,NLR,36,dram,18.578,1
ONLP,Oregon-2,36,package-0,1.49896,1
ONLP,Oregon-2,36,dram,0.419067,1
ONLP,Oregon-2,36,package-1,3.61651,1
ONLP,Oregon-2,36,dram,0.437717,1
MPLP,asia,36,package-0,132.253,1
MPLP,asia,36,dram,32.2383,1
MPLP,asia,36,package-1,130.158,1
MPLP,asia,36,dram,25.9756,1
ONLP,belgium,36,package-0,25.7799,1
ONLP,belgium,36,dram,5.03662,1
ONLP,belgium,36,package-1,46.7994,1
ONLP,belgium,36,dram,4.15274,1
ONLP,NLR,36,package-0,84.7814,1
ONLP,NLR,36,dram,11.8159,1
ONLP,NLR,36,package-1,105.535,1
ONLP,NLR,36,dram,19.2182,1
ONLP,asia,36,package-0,145.673,1
ONLP,asia,36,dram,28.7571,1
ONLP,asia,36,package-1,144.569,1
ONLP,asia,36,dram,31.0352,1
PLP,delaunay_n24,36,package-0,477.119,1
PLP,delaunay_n24,36,dram,55.6517,1
PLP,delaunay_n24,36,package-1,449.991,1
PLP,delaunay_n24,36,dram,52.1383,1
PLP,in-2004,36,package-0,36.4611,1
PLP,in-2004,36,dram,4.89344,1
PLP,in-2004,36,package-1,35.0298,1
PLP,in-2004,36,dram,3.75445,1
PLP,kkt_power,36,package-0,101.121,1
PLP,kkt_power,36,dram,9.95358,1
PLP,kkt_power,36,package-1,99.1648,1
PLP,kkt_power,36,dram,10.7188,1
PLP,germany,36,package-0,213.951,1
PLP,germany,36,dram,27.387,1
PLP,germany,36,package-1,207.438,1
PLP,germany,36,dram,25.0658,1
MPLP,delaunay_n24,36,package-0,281.974,1
MPLP,delaunay_n24,36,dram,51.5871,1
MPLP,delaunay_n24,36,package-1,247.673,1
MPLP,delaunay_n24,36,dram,47.5113,1
MPLP,in-2004,36,package-0,11.1761,1
MPLP,in-2004,36,dram,4.05334,1
MPLP,in-2004,36,package-1,34.0569,1
MPLP,in-2004,36,dram,3.75913,1
MPLP,kkt_power,36,package-0,41.905,1
MPLP,kkt_power,36,dram,7.54512,1
MPLP,kkt_power,36,package-1,66.7155,1
MPLP,kkt_power,36,dram,6.07314,1
MPLP,germany,36,package-0,126.183,1
MPLP,germany,36,dram,22.2792,1
MPLP,germany,36,package-1,136.233,1
MPLP,germany,36,dram,30.0235,1
PLP,europe,36,package-0,1097.84,1
PLP,europe,36,dram,125.529,1
PLP,europe,36,package-1,1060.78,1
PLP,europe,36,dram,124.776,1
ONLP,kkt_power,36,package-0,24.5927,1
ONLP,kkt_power,36,dram,5.0529,1
ONLP,kkt_power,36,package-1,50.5922,1
ONLP,kkt_power,36,dram,5.05348,1
ONLP,in-2004,36,package-0,27.0658,1
ONLP,in-2004,36,dram,5.11484,1
ONLP,in-2004,36,package-1,35.5005,1
ONLP,in-2004,36,dram,4.69278,1
ONLP,delaunay_n24,36,package-0,288.136,1
ONLP,delaunay_n24,36,dram,51.2976,1
ONLP,delaunay_n24,36,package-1,276.966,1
ONLP,delaunay_n24,36,dram,58.326,1
ONLP,germany,36,package-0,109.561,1
ONLP,germany,36,dram,22.5131,1
ONLP,germany,36,package-1,136.419,1
ONLP,germany,36,dram,31.0598,1
MPLP,europe,36,package-0,644.198,1
MPLP,europe,36,dram,127.142,1
MPLP,europe,36,package-1,599.484,1
MPLP,europe,36,dram,127.041,1
PLP,luxembourg,36,package-0,3.03051,1
PLP,luxembourg,36,dram,0.489875,1
PLP,luxembourg,36,package-1,3.09783,1
PLP,luxembourg,36,dram,0.403751,1
PLP,loc-gowalla_edges,36,package-0,14.9901,1
PLP,loc-gowalla_edges,36,dram,2.12171,1
PLP,loc-gowalla_edges,36,package-1,16.6724,1
PLP,loc-gowalla_edges,36,dram,1.9552,1
PLP,roadNet-PA,36,package-0,19.6208,1
PLP,roadNet-PA,36,dram,2.49344,1
PLP,roadNet-PA,36,package-1,19.8473,1
PLP,roadNet-PA,36,dram,2.40416,1
PLP,netherlands,36,package-0,77.1882,1
PLP,netherlands,36,dram,8.70443,1
PLP,netherlands,36,package-1,71.3636,1
PLP,netherlands,36,dram,6.40755,1
MPLP,luxembourg,36,package-0,5.47667,1
MPLP,luxembourg,36,dram,1.64206,1
MPLP,luxembourg,36,package-1,14.1113,1
MPLP,luxembourg,36,dram,1.49873,1
MPLP,loc-gowalla_edges,36,package-0,4.06481,1
MPLP,loc-gowalla_edges,36,dram,0.810043,1
MPLP,loc-gowalla_edges,36,package-1,6.17485,1
MPLP,loc-gowalla_edges,36,dram,0.948952,1
MPLP,roadNet-PA,36,package-0,15.6678,1
MPLP,roadNet-PA,36,dram,4.15132,1
MPLP,roadNet-PA,36,package-1,38.4818,1
MPLP,roadNet-PA,36,dram,4.19272,1
MPLP,netherlands,36,package-0,35.3824,1
MPLP,netherlands,36,dram,6.66886,1
MPLP,netherlands,36,package-1,55.3157,1
MPLP,netherlands,36,dram,6.55204,1
ONLP,luxembourg,36,package-0,2.49627,1
ONLP,luxembourg,36,dram,0.697741,1
ONLP,luxembourg,36,package-1,5.4583,1
ONLP,luxembourg,36,dram,0.662108,1
ONLP,loc-gowalla_edges,36,package-0,5.69505,1
ONLP,loc-gowalla_edges,36,dram,1.30781,1
ONLP,loc-gowalla_edges,36,package-1,10.2895,1
ONLP,loc-gowalla_edges,36,dram,1.37884,1
ONLP,roadNet-PA,36,package-0,12.7996,1
ONLP,roadNet-PA,36,dram,3.55263,1
ONLP,roadNet-PA,36,package-1,31.7344,1
