GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
nlpkkt200,MPLP,16240000,215992816,19.548,631.301,2350048,0.42032,25,0,17606,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,0.852438,14.9577,62816,0.856379,25,0,366,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,1.1184,35.4334,59148,0.860061,25,0,1055,0,0,36,LL,0,0
333SP,MPLM,3712815,11108633,3.05549,102.914,207,0.987034,25,989.415,1908.42,344.955,0,36,LL,0,0
333SP,OVPL,3712815,11108633,5.8249,172.873,211,0.987102,25,1112.56,2534.56,753.171,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.922904,13.6121,93601,0.821683,25,0,408,0,0,36,LL,0,0
AS365,ONPL,3799275,11368076,5.95628,204.536,210,0.9841,25,3663.07,4152.07,375.811,0,36,LL,0,0
AS365,PLP,3799275,11368076,0.863795,26.5955,92904,0.821884,25,0,787,0,0,36,LL,0,0
AS365,MPLM,3799275,11368076,5.79218,193.928,209,0.984134,25,3592.4,4387.4,389.315,0,36,LL,0,0
AS365,OVPL,3799275,11368076,4.67115,126.687,208,0.984168,25,676.921,1409.92,459.233,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.81969,13.8925,87929,0.817229,25,0,368,0,0,36,LL,0,0
M6,ONPL,3501776,10501936,3.31699,113.793,187,0.983168,25,1557.56,1846.56,343.713,0,36,LL,0,0
M6,PLP,3501776,10501936,0.750792,21.6765,85532,0.819377,25,0,717,0,0,36,LL,0,0
M6,MPLM,3501776,10501936,4.64979,157.881,186,0.983091,25,2832.78,3312.78,359.762,0,36,LL,0,0
M6,OVPL,3501776,10501936,4.37052,118.186,186,0.983133,25,806.23,1313.23,612.998,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.243904,4.72519,26676,0.815027,25,0,92,0,0,36,LL,0,0
NACA0015,ONPL,1039183,3114818,0.991719,34.0852,122,0.975513,25,467.224,557.224,96.5042,0,36,LL,0,0
NACA0015,PLP,1039183,3114818,0.224124,6.13784,25718,0.818491,25,0,203,0,0,36,LL,0,0
NACA0015,MPLM,1039183,3114818,1.13499,30.2855,129,0.975865,25,535.028,744.028,108.934,0,36,LL,0,0
NACA0015,OVPL,1039183,3114818,1.20741,37.5017,120,0.975708,25,218.457,327.457,157.225,0,36,LL,0,0
NLR,MPLP,4163763,12487976,0.955557,17.3856,105418,0.816542,25,0,422,0,0,36,LL,0,0
NLR,PLP,4163763,12487976,0.855049,29.2001,102245,0.819438,25,0,825,0,0,36,LL,0,0
NLR,MPLM,4163763,12487976,5.44444,181.971,203,0.983988,25,3115.14,3827.14,445.874,0,36,LL,0,0
NLR,OVPL,4163763,12487976,5.54873,145.116,199,0.984074,25,781.534,1580.53,776.67,0,36,LL,0,0
Oregon-2,MPLP,11806,32730,0.039359,0.618851,434,0.527906,25,0,1,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0655676,1.17192,396,0.168519,25,0,8,0,0,36,LL,0,0
Oregon-2,MPLM,11806,32730,0.032508,0.525422,376,0.638062,25,6.76493,10.7649,1.58276,0,36,LL,0,0
Oregon-2,OVPL,11806,32730,0.15897,3.16317,365,0.632581,25,10.9601,15.9601,0.990321,0,36,LL,0,0
delaunay_n24,MPLP,16777216,50331601,3.12552,46.5773,515966,0.80951,25,0,1198,0,0,36,LL,0,0
delaunay_n24,PLP,16777216,50331601,3.98309,140.619,516499,0.809271,25,0,3911,0,0,36,LL,0,0
delaunay_n24,MPLM,16777216,50331601,16.8493,505.321,348,0.990391,25,4843.75,11008.7,1640.82,0,36,LL,0,0
delaunay_n24,OVPL,16777216,50331601,26.3275,657.267,341,0.990412,25,4099.63,12512.6,3084.23,0,36,LL,0,0
in-2004,MPLP,1382908,13591473,0.249609,3.46118,25875,0.941747,25,0,74,0,0,36,LL,0,0
in-2004,PLP,1382908,13591473,0.30849,10.0865,25931,0.940259,25,0,253,0,0,36,LL,0,0
in-2004,MPLM,1382908,13591473,1.75909,60.972,994,0.980209,25,1360.72,1455.72,54.4934,0,36,LL,0,0
in-2004,OVPL,1382908,13591473,5.07039,170.01,1056,0.980164,25,3865.85,3965.85,49.9169,0,36,LL,0,0
kkt_power,MPLP,2063494,6482320,0.416863,7.55466,37973,0.757416,25,0,176,0,0,36,LL,0,0
kkt_power,PLP,2063494,6482320,0.344591,9.36141,40498,0.7533,25,0,328,0,0,36,LL,0,0
kkt_power,MPLM,2063494,6482320,2.72615,93.4493,100,0.907072,25,1595.3,2033.3,276.182,0,36,LL,0,0
kkt_power,OVPL,2063494,6482320,4.00096,126.55,22,0.89273,25,788.668,2267.67,284.295,0,36,LL,0,0
nlpkkt200,MPLP,16240000,215992816,20.7645,675.533,2591689,0.379328,25,0,18824,0,0,36,LL,0,0
nlpkkt200,PLP,16240000,215992816,40.9553,1462.44,306004,0.758643,25,0,40904,0,0,36,LL,0,0
nlpkkt200,MPLM,16240000,215992816,48.5037,1673.28,42,0.93605,25,45221,45418,546.312,0,36,LL,0,0
nlpkkt200,OVPL,16240000,215992816,21.1831,393.745,47,0.93763,25,6293.12,6368.12,481.915,0,36,LL,0,0
roadNet-PA,MPLP,1088092,1541898,0.190854,2.35014,31911,0.899913,25,0,39,0,0,36,LL,0,0
roadNet-PA,ONPL,1088092,1541898,2.31511,76.398,493,0.989334,25,1230.95,1530.95,242.86,0,36,LL,0,0
roadNet-PA,PLP,1088092,1541898,0.281216,6.82926,31429,0.900723,25,0,204,0,0,36,LL,0,0
