GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime
RMAT_20_16-57-19-19-05,ONPL,1048576,16777216,2.61238,84.555,393254,0.0729518,25,1264.41,1442.41,424.916,0,48,LL,0,0,0
RMAT_20_16-57-19-19-05,PLM,1048576,16777216,19.4685,356.929,392677,0.0731727,25,13184.1,18204.1,436.021,0,48,L1D,0,0,0
RMAT_20_16-57-19-19-05,ONPL,1048576,16777216,3.7421,162.337,393312,0.0733605,25,2266.24,2404.24,482.039,0,48,LL,0,0,0
RMAT_20_16-57-19-19-05,OVPL,1048576,16777216,348.357,706.645,393014,0.0722732,25,345035,345370,456.481,0,48,LL,0,0,0
RMAT_20_16-57-19-19-05,MPLM,1048576,16777216,4.73855,180.14,392878,0.0728582,25,2880.51,3053.51,625.649,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,PLM,4194304,67108864,106.407,756.468,1773427,0.0525216,25,55601.5,98984.5,2632.23,0,48,L1D,0,0,0
RMAT_22_16-57-19-19-05,ONPL,4194304,67108864,15.8257,522.888,1774315,0.0645518,25,7722.12,10104.1,2170.01,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,OVPL,4194304,67108864,5443.22,6537.47,1773510,0.0634534,25,5.42184e+06,5.42526e+06,1972.15,0,48,LL,0,0,0
RMAT_21_16-57-19-19-05,ONPL,2097152,33554432,6.59854,149.205,837381,0.0687358,25,3579.27,4087.27,926.132,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,MPLM,4194304,67108864,22.1018,672.846,1772159,0.0588088,25,13003.6,15980.6,2220.02,0,48,LL,0,0,0
RMAT_21_16-57-19-19-05,OVPL,2097152,33554432,61.4305,312.92,837702,0.0491017,25,51471.9,55604.9,1693.31,0,48,LL,0,0,0
RMAT_21_16-57-19-19-05,PLM,2097152,33554432,34.7316,373.359,837259,0.0619397,25,18401.9,31705.9,1024.57,0,48,L1D,0,0,0
RMAT_21_16-57-19-19-05,MPLM,2097152,33554432,7.67101,296.413,837168,0.0675991,25,4248.89,5162.89,954.012,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,ONPL,4194304,67108864,13.5867,435.451,1773285,0.0647679,25,6340.86,7986.86,1955.13,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,PLM,4194304,67108864,103.192,2206.66,1773665,0.0580644,25,56803.2,96739.2,2372.04,0,48,L1D,0,0,0
RMAT_22_16-57-19-19-05,MPLM,4194304,67108864,25.0285,744.126,1773870,0.0584422,25,14722.4,19035.4,2290.07,0,48,LL,0,0,0
RMAT_23_16-57-19-19-05,ONPL,8388608,134217728,33.7378,800.766,3738128,0.0594596,25,15008.1,20921.1,4749.25,0,48,LL,0,0,0
RMAT_23_16-57-19-19-05,PLM,8388608,134217728,393.004,4639.72,3740219,0.0409634,25,126524,366846,9844.55,0,48,L1D,0,0,0
RMAT_23_16-57-19-19-05,MPLM,8388608,134217728,54.5232,1127.69,3737228,0.0555419,25,30491.7,40881.7,5370.9,0,48,LL,0,0,0
RMAT_23_16-57-19-19-05,PLM,8388608,134217728,404.419,4990.23,3738978,0.0409466,25,122266,378310,9763.49,0,48,L1D,0,0,0
RMAT_23_16-57-19-19-05,ONPL,8388608,134217728,34.3945,993.868,3738264,0.0624994,25,16542,22898,4423.61,0,48,LL,0,0,0
RMAT_24_16-57-19-19-05,ONPL,16777216,268435456,137.282,1952.46,7842522,0.0475227,25,69839.4,100245,13488.3,0,48,LL,0,0,0
RMAT_23_16-57-19-19-05,OVPL,8388608,134217728,360.011,1916.63,3738648,0.0409201,25,285257,327294,10312.6,0,48,LL,0,0,0
RMAT_23_16-57-19-19-05,MPLM,8388608,134217728,52.0116,1126.97,3739551,0.0553824,25,30463,38834,4964.26,0,48,LL,0,0,0
RMAT_24_16-57-19-19-05,MPLM,16777216,268435456,170.212,2111.53,7841399,0.0473073,25,82194.4,134492,13442.1,0,48,LL,0,0,0
RMAT_24_16-57-19-19-05,PLM,16777216,268435456,1170.62,7013.1,7843357,0.0379013,25,290233,1.1084e+06,24337.8,0,48,L1D,0,0,0
RMAT_24_16-57-19-19-05,PLM,16777216,268435456,519.289,4797.15,7841810,0.0471878,25,279436,483934,13532.1,0,48,L1D,0,0,0
RMAT_24_16-57-19-19-05,ONPL,16777216,268435456,83.4772,1658.99,7843499,0.0573171,25,43716.6,55587.6,10770,0,48,LL,0,0,0
