GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime
RMAT_20_16-57-19-19-05,PLP,1048576,16777216,0.562399,16.0745,392385,2.1696e-05,25,0,549,0,0,48,LL,0,0,0
RMAT_20_16-57-19-19-05,MPLP,1048576,16777216,0.597105,17.2829,392472,2.03847e-05,25,0,308,0,0,48,LL,0,0,0.0521892
RMAT_22_16-57-19-19-05,PLP,4194304,67108864,1.81251,38.6259,1773051,2.17258e-05,25,0,1743,0,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,MPLP,4194304,67108864,1.92156,49.0943,1772580,2.11893e-05,25,0,1001,0,0,48,LL,0,0,0.257585
RMAT_20_16-57-19-19-05,ONLP,1048576,16777216,0.379509,6.63218,393129,2.46762e-05,25,0,181,0,0,48,LL,0,0,5e-08
RMAT_21_16-57-19-19-05,ONLP,2097152,33554432,0.777309,19.5476,837320,2.22324e-05,25,0,430,0,0,48,LL,0,0,8.2e-08
RMAT_22_16-57-19-19-05,ONLP,4194304,67108864,2.10095,46.3499,1774485,2.19642e-05,25,0,1394,0,0,48,LL,0,0,4.3e-08
RMAT_23_16-57-19-19-05,ONLP,8388608,134217728,3.61178,63.8889,3737742,2.12489e-05,25,0,2311,0,0,48,LL,0,0,5e-08
RMAT_23_16-57-19-19-05,PLP,8388608,134217728,3.71816,66.812,3738343,2.19791e-05,25,0,3630,0,0,48,LL,0,0,0
RMAT_24_16-57-19-19-05,ONLP,16777216,268435456,9.23097,130.497,7842518,2.04964e-05,25,0,6607,0,0,48,LL,0,0,6.8e-08
RMAT_23_16-57-19-19-05,MPLP,8388608,134217728,3.67695,70.3309,3738512,2.17556e-05,25,0,2362,0,0,48,LL,0,0,1.52e-07
RMAT_24_16-57-19-19-05,PLP,16777216,268435456,8.44118,114.99,7841925,2.10329e-05,25,0,8347,0,0,48,LL,0,0,0
