GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime,Scale,EdgeFactor,a,b,c,d
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,17.3631,305.448,14095,0.125633,25,13985.6,16241.6,391.256,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,16777216,2.33719,78.8554,14087,0.127813,25,1262.87,1359.87,368.417,0,48,LL,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,19.4533,334.258,392920,0.0733616,25,13480.7,18139.7,447.226,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,16777216,2.76759,93.0419,392926,0.0737679,25,1526.53,1610.53,430.133,0,48,LL,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLM,1048576,16777216,29.2537,357.972,58699,0.113758,25,9533.99,27195,780.397,0,48,L1D,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,16777216,3.7663,106.327,58698,0.114238,25,1457.88,1869.88,683.085,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,16777216,8.1094,119.931,58699,0.113221,25,5491.02,5886.02,706.317,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,16777216,4.04686,120.231,58697,0.113853,25,1935.29,2358.29,499.356,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLP,1048576,16777216,0.538437,25.092,58689,0,25,0,536,0,0,48,LL,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,16777216,21.5093,152.209,392910,0.0704987,25,18295.7,19021.7,664.835,0,48,LL,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,MPLP,1048576,16777216,0.348552,13.4993,58690,-1.77636e-15,25,0,263,0,0,48,LL,0,0,3.6e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.240566,8.85565,58689,0,25,0,155,0,0,48,LL,0,0,5.8e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,PLM,1048576,33554432,23.8809,224.133,2517,0.0908319,25,22322.4,22420.4,561.838,0,48,L1D,0,0,0,20,32,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,16777216,3.86125,112.559,392925,0.073321,25,2527.16,2744.16,407.774,0,48,LL,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLP,1048576,16777216,0.496699,17.6409,392893,2.2292e-05,25,0,494,0,0,48,LL,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,16777216,0.45459,13.4917,392893,2.21728e-05,25,0,335,0,0,48,LL,0,0,3.9e-08,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,16777216,0.287927,8.2289,392891,2.19344e-05,25,0,171,0,0,48,LL,0,0,7e-08,20,16,0.57,0.19,0.19,0.05
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,33554432,3.13251,85.6384,2519,0.0902044,25,1775.22,1778.22,559.764,0,48,LL,0,0,0,20,32,0.4,0.3,0.2,0.1
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,28.6307,416.325,23930,0.104949,25,22968.7,27024.7,590.145,0,48,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.95134,150.357,23931,0.0941116,25,2536.42,3005.42,635.254,0,48,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,OVPL,1048576,33554432,6.94225,102.951,2515,0.0891746,25,4665.11,4721.11,553.848,0,48,LL,0,0,0,20,32,0.4,0.3,0.2,0.1
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,24.1881,259.598,295479,0.0534948,25,21770.7,22747.7,553.405,0,48,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,MPLM,1048576,33554432,3.07609,87.5929,2521,0.0906142,25,1712.17,1721.17,565.672,0,48,LL,0,0,0,20,32,0.4,0.3,0.2,0.1
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,PLP,1048576,33554432,0.436474,17.9379,2506,0,25,0,434,0,0,48,LL,0,0,0,20,32,0.4,0.3,0.2,0.1
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,MPLP,1048576,33554432,0.577697,21.693,2506,0,25,0,446,0,0,48,LL,0,0,4.2e-08,20,32,0.4,0.3,0.2,0.1
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.79759,74.6845,295467,0.0530787,25,2396.55,2431.55,535.809,0,48,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,ONLP,1048576,33554432,0.305191,9.24017,2506,0,25,0,173,0,0,48,LL,0,0,3.6e-08,20,32,0.4,0.3,0.2,0.1
RMAT_20_2-0.570000-0.190000-0.190000-0.050000,PLM,1048576,2097152,5.31824,173.267,696272,0.207993,25,2385.69,4334.69,330.102,0,48,L1D,0,0,0,20,2,0.57,0.19,0.19,0.05
RMAT_20_2-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,2097152,1.86392,75.3356,696270,0.20735,25,480.981,735.981,352.969,0,48,LL,0,0,0,20,2,0.57,0.19,0.19,0.05
RMAT_20_2-0.330000-0.330000-0.330000-0.010000,PLM,1048576,2097152,8.33281,283.077,352045,0.35986,25,2149.79,7338.79,335.399,0,48,L1D,0,0,0,20,2,0.33,0.33,0.33,0.01
RMAT_20_2-0.400000-0.300000-0.200000-0.100000,PLM,1048576,2097152,9.47095,334.071,271739,0.397216,25,2903.57,8472.57,318.51,0,48,L1D,0,0,0,20,2,0.4,0.3,0.2,0.1
