GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime
333SP,MPLP,3712815,11108633,1.4271,40.3032,60614,0.859422,25,0,855,0,0,48,LL,0,0,0.0794289
333SP,ONLP,3712815,11108633,1.68019,40.3996,64143,0.857748,25,0,809,0,0,48,LL,0,0,0.292337
AS365,MPLP,3799275,11368076,1.1083,24.9285,95682,0.819102,25,0,519,0,0,48,LL,0,0,0.0659448
AS365,ONLP,3799275,11368076,1.36656,34.3303,93007,0.821782,25,0,517,0,0,48,LL,0,0,0.294708
M6,MPLP,3501776,10501936,0.987738,25.1106,87806,0.817572,25,0,463,0,0,48,LL,0,0,0.050292
M6,ONLP,3501776,10501936,1.20982,34.7296,86726,0.818766,25,0,423,0,0,48,LL,0,0,0.248492
NACA0015,MPLP,1039183,3114818,0.3554,9.26155,25811,0.818353,25,0,145,0,0,48,LL,0,0,0.0143755
NACA0015,ONLP,1039183,3114818,0.553127,12.2086,25708,0.818341,25,0,240,0,0,48,LL,0,0,0.0874906
NLR,MPLP,4163763,12487976,1.26708,30.841,106003,0.816507,25,0,625,0,0,48,LL,0,0,0.0798771
NLR,ONLP,4163763,12487976,1.60269,39.3503,103508,0.819323,25,0,641,0,0,48,LL,0,0,0.324724
Oregon-2,MPLP,11806,32730,0.0697771,1.33408,404,0.499589,25,0,26,0,0,48,LL,0,0,0.000967762
Oregon-2,ONLP,11806,32730,0.0546244,1.03562,384,0.500215,25,0,4,0,0,48,LL,0,0,0.00206109
asia,MPLP,11950757,12711603,3.12745,59.5865,164516,0.967542,25,0,1259,0,0,48,LL,0,0,0.167089
asia,ONLP,11950757,12711603,3.28989,54.4158,160311,0.96815,25,0,652,0,0,48,LL,0,0,0.974689
belgium,MPLP,1441295,1549970,0.403186,8.75414,29839,0.950318,25,0,146,0,0,48,LL,0,0,0.01847
belgium,ONLP,1441295,1549970,0.628813,16.551,28925,0.951529,25,0,261,0,0,48,LL,0,0,0.101931
delaunay_n24,MPLP,16777216,50331601,5.01592,120.434,523495,0.808415,25,0,2419,0,0,48,LL,0,0,0.320158
delaunay_n24,ONLP,16777216,50331601,5.32203,102.899,518966,0.809003,25,0,1594,0,0,48,LL,0,0,1.36534
europe,MPLP,50912018,54054660,14.6081,339.162,904725,0.961481,25,0,6825,0,0,48,LL,0,0,0.928959
europe,ONLP,50912018,54054660,14.3347,194.479,897496,0.961788,25,0,3332,0,0,48,LL,0,0,4.11282
germany,MPLP,11548845,12369181,3.02069,63.8722,258835,0.953679,25,0,1206,0,0,48,LL,0,0,0.179097
germany,ONLP,11548845,12369181,3.26299,52.0255,261622,0.953453,25,0,656,0,0,48,LL,0,0,0.96553
in-2004,MPLP,1382908,13591473,0.41662,8.91654,26203,0.939998,25,0,166,0,0,48,LL,0,0,0.0253503
in-2004,ONLP,1382908,13591473,0.469301,11.6539,26090,0.937676,25,0,95,0,0,48,LL,0,0,0.106939
kkt_power,MPLP,2063494,6482320,0.655844,16.954,37896,0.757928,25,0,320,0,0,48,LL,0,0,0.029847
kkt_power,ONLP,2063494,6482320,0.93202,20.9366,38831,0.758166,25,0,308,0,0,48,LL,0,0,0.234617
loc-gowalla_edges,MPLP,196591,950327,0.1108,2.55331,381,0.483017,25,0,32,0,0,48,LL,0,0,0.00442025
loc-gowalla_edges,ONLP,196591,950327,0.194931,3.83224,16,0.385083,25,0,55,0,0,48,LL,0,0,0.0269126
luxembourg,MPLP,114599,119666,0.100013,1.82522,1912,0.964853,25,0,37,0,0,48,LL,0,0,0.00198813
luxembourg,ONLP,114599,119666,0.129399,2.65778,1789,0.966059,25,0,18,0,0,48,LL,0,0,0.0103935
netherlands,MPLP,2216688,2441238,0.681745,16.4179,92571,0.91834,25,0,329,0,0,48,LL,0,0,0.030414
netherlands,ONLP,2216688,2441238,0.781329,19.5189,91457,0.918974,25,0,217,0,0,48,LL,0,0,0.159106
nlpkkt200,MPLP,16240000,215992816,30.2035,1317.38,1281181,0.591878,25,0,27389,0,0,48,LL,0,0,0.609106
nlpkkt200,ONLP,16240000,215992816,21.1483,836.523,16787,0.815658,25,0,17289,0,0,48,LL,0,0,1.55458
roadNet-PA,MPLP,1088092,1541898,0.31037,6.19169,33737,0.897184,25,0,100,0,0,48,LL,0,0,0.0148318
roadNet-PA,ONLP,1088092,1541898,0.442767,11.0531,29690,0.903461,25,0,130,0,0,48,LL,0,0,0.0934546
uk-2002,MPLP,18520486,261787258,5.27544,104.54,250114,0.96032,25,0,2141,0,0,48,LL,0,0,0.565617
uk-2002,ONLP,18520486,261787258,6.10792,117.218,248816,0.960294,25,0,1717,0,0,48,LL,0,0,1.83263
